BAP12345-1123,2015-11-24,'23:37:02.115,CSI_112315,1060,1061,EXACT,InquireFiberServiceAssignedProductDetailsRequest,8.31
BAP12345-1123,2015-11-24,'23:37:02.149,CSI_112315,1063,1064,EXACT,InquireFiberServiceAssignedProductDetailsRequest,8.31
BAP12345-1123,2015-11-24,'23:37:02.301,ServiceLocator,1511,1512,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:37:02.504,ServiceLocator,1514,1515,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:37:03.801,SMBIS_112315,77,78,EXACT,_SmFacade_Stub.retrieveSubscriptionAccountsForAffiliatesByAccountNumber,8.31
BAP12345-1123,2015-11-24,'23:37:03.816,SMBIS_112315,57,58,EXACT,_SmFacade_Stub.retrieveSubscriptionAccountsForAffiliatesByAccountNumber,8.31
BAP12345-1123,2015-11-24,'23:37:05.008,SPD_112315,,,NO_MATCH,InquireDirectAccessProductRequest,8.31
BAP12345-1123,2015-11-24,'23:37:38.865,PAMBIS_112315,336,337,EXACT,_PAM_Stub.retrieveCustomerPaymentView3,8.31
BAP12345-1123,2015-11-24,'23:37:38.873,PAMBIS_112315,339,340,EXACT,_PAM_Stub.retrieveCustomerPaymentView3,8.31
BAP12345-1123,2015-11-24,'23:37:38.881,PAMBIS_112315,333,334,EXACT,_PAM_Stub.retrieveCustomerPaymentView3,8.31
BAP12345-1123,2015-11-24,'23:39:08.067,MPS_112315,110,111,EXACT,updateMemberRequest,8.31
BAP12345-1123,2015-11-24,'23:39:08.071,MPS_112315,102,103,EXACT,updateMemberRequest,8.31
BAP12345-1123,2015-11-24,'23:39:08.073,MPS_112315,99,100,EXACT,updateMemberRequest,8.31
BAP12345-1123,2015-11-24,'23:39:24.409,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:24.734,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:39:25.061,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:25.381,ServiceLocator,1070,1071,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:39:29.447,TLG_112315,2005,2006,EXACT,AppQueryBean_tktr17_EOImpl_1030_WLStub.getMarketBySubscriber,8.31
BAP12345-1123,2015-11-24,'23:39:29.793,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:29.800,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:29.804,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:30.118,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:39:30.126,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:39:30.129,TCM,26,27,OPERATION,TelegenceConnectionManager.getTicket,8.31
BAP12345-1123,2015-11-24,'23:39:30.446,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:30.454,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:30.593,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:30.867,ServiceLocator,1070,1071,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:39:30.871,ServiceLocator,1449,1450,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:39:31.105,ServiceLocator,1449,1450,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:39:31.320,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:31.472,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:31.636,ServiceLocator,1067,1068,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:39:31.790,ServiceLocator,1067,1068,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:39:34.840,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:35.162,ServiceLocator,1067,1068,EXACT,ServiceLocator.getRemoteEJBReference,8.31
BAP12345-1123,2015-11-24,'23:39:36.728,TLG_112315,2304,2305,EXACT,ProductAgreementBean_sd4w3n_EOImpl_1030_WLStub.getCurrentFeatures,8.31
BAP12345-1123,2015-11-24,'23:39:36.892,TLG_112315,2189,2190,EXACT,ProductAgreementBean_sd4w3n_EOImpl_1030_WLStub.getAgreementInfo,8.31
BAP12345-1123,2015-11-24,'23:39:37.159,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:37.327,TCM,8,9,OPERATION,TelegenceConnectionManager.getUrl,8.31
BAP12345-1123,2015-11-24,'23:39:37.480,ServiceLocator,1067,1068,EXACT,ServiceLocator.getRemoteEJBReference,8.31
